Band;Original genre;State;Code
10 Years;Alternative_metal;United States;USA
12 Stones;Alternative_metal;United States;USA
36 Crazyfists;Alternative_metal;United States;USA
311;Alternative_metal;United States;USA
Alice in Chains;Alternative_metal;United States;USA
Alien Ant Farm;Alternative_metal;United States;USA
Alter Bridge;Alternative_metal;United States;USA
American Standards;Alternative_metal;United States;USA
Anthrax;Alternative_metal;United States;USA
Apartment 26;Alternative_metal;United Kingdom;GBR
A Perfect Circle;Alternative_metal;United States;USA
Apocalyptica;Alternative_metal;Finland;FIN
At the Drive-In;Alternative_metal;United States;USA
Audioslave;Alternative_metal;United States;USA
Avenged Sevenfold;Alternative_metal;United States;USA
Babymetal;Alternative_metal;Japan;JPN
Bad Brains;Alternative_metal;United States;USA
Baroness;Alternative_metal;United States;USA
Biohazard;Alternative_metal;United States;USA
Black Stone Cherry;Alternative_metal;United States;USA
Black Veil Brides;Alternative_metal;United States;USA
Breaking Benjamin;Alternative_metal;United States;USA
Bring Me the Horizon;Alternative_metal;United Kingdom;GBR
Bullet for My Valentine;Alternative_metal;United Kingdom;GBR
Butthole Surfers;Alternative_metal;United States;USA
Chevelle;Alternative_metal;United States;USA
CKY;Alternative_metal;United States;USA
Clawfinger;Alternative_metal;Sweden;SWE
Clutch;Alternative_metal;United States;USA
Coal Chamber;Alternative_metal;United States;USA
Cold;Alternative_metal;United States;USA
The Cooters;Alternative_metal;United States;USA
Corrosion of Conformity;Alternative_metal;United States;USA
Cyclone Temple;Alternative_metal;United States;USA
Days of the New;Alternative_metal;United States;USA
Decyfer Down;Alternative_metal;United States;USA
Defrage;Alternative_metal;Estonia;EST
Deftones;Alternative_metal;United States;USA
Demon Hunter;Alternative_metal;United States;USA
Disturbed;Alternative_metal;United States;USA
Dir En Grey;Alternative_metal;Japan;JPN
Dog Fashion Disco;Alternative_metal;United States;USA
Dope;Alternative_metal;United States;USA
downset.;Alternative_metal;United States;USA
Drowning Pool;Alternative_metal;United States;USA
Earshot;Alternative_metal;United States;USA
Enter Shikari;Alternative_metal;United Kingdom;GBR
Evanescence;Alternative_metal;United States;USA
Failure;Alternative_metal;United States;USA
Fair to Midland;Alternative_metal;United States;USA
Faith No More;Alternative_metal;United States;USA
Fantômas;Alternative_metal;United States;USA
Fear Factory;Alternative_metal;United States;USA
Fightstar;Alternative_metal;United Kingdom;GBR
Finger Eleven;Alternative_metal;Canada;CAN
Filter;Alternative_metal;United States;USA
Five Finger Death Punch;Alternative_metal;United States;USA
Flyleaf;Alternative_metal;United States;USA
Fuel;Alternative_metal;United States;USA
Full Scale;Alternative_metal;Australia;AUS
Fu Manchu;Alternative_metal;United States;USA
Funeral for a Friend;Alternative_metal;United Kingdom;GBR
Godflesh;Alternative_metal;United Kingdom;GBR
Glassjaw;Alternative_metal;United States;USA
Godsmack;Alternative_metal;United States;USA
Green Jellÿ;Alternative_metal;United States;USA
Grinspoon;Alternative_metal;Australia;AUS
Guano Apes;Alternative_metal;Germany;DEU
Hayko Cepkin;Alternative_metal;Turkey;TUR
Halestorm;Alternative_metal;United States;USA
Helmet;Alternative_metal;United States;USA
HIM;Alternative_metal;Finland;FIN
Hollywood Undead;Alternative_metal;United States;USA
In Flames;Alternative_metal;Sweden;SWE
In This Moment;Alternative_metal;United States;USA
Incubus;Alternative_metal;United States;USA
Jane's Addiction;Alternative_metal;United States;USA
Jesters of Destiny;Alternative_metal;United States;USA
The Jesus Lizard;Alternative_metal;United States;USA
Karnivool;Alternative_metal;Australia;AUS
Kittie;Alternative_metal;Canada;CAN
KMFDM;Alternative_metal;Germany;DEU
Korn;Alternative_metal;United States;USA
Kyuss;Alternative_metal;United States;USA
L7;Alternative_metal;United States;USA
Lacuna Coil;Alternative_metal;Italy;ITA
Life of Agony;Alternative_metal;United States;USA
Leprous;Alternative_metal;Norway;NOR
Limp Bizkit;Alternative_metal;United States;USA
Linkin Park;Alternative_metal;United States;USA
Living Colour;Alternative_metal;United States;USA
Lostprophets;Alternative_metal;United Kingdom;GBR
The Lounge Kittens;Alternative_metal;United Kingdom;GBR
Machine Head;Alternative_metal;United States;USA
Marilyn Manson;Alternative_metal;United States;USA
Mastodon;Alternative_metal;United States;USA
Melvins;Alternative_metal;United States;USA
Metallica;Alternative_metal;United States;USA
Mind Over Four;Alternative_metal;United States;USA
Ministry;Alternative_metal;United States;USA
Monster Magnet;Alternative_metal;United States;USA
Motionless In White;Alternative_metal;United States;USA
Mother Love Bone;Alternative_metal;United States;USA
Mötley Crüe;Alternative_metal;United States;USA
Mr. Bungle;Alternative_metal;United States;USA
Mt. Helium;Alternative_metal;United States;USA
Mudvayne;Alternative_metal;United States;USA
Mushroomhead;Alternative_metal;United States;USA
Nebula;Alternative_metal;United States;USA
Nickelback;Alternative_metal;Canada;CAN
Nine Inch Nails;Alternative_metal;United States;USA
Nonpoint;Alternative_metal;United States;USA
Nothingface;Alternative_metal;United States;USA
Norma Jean;Alternative_metal;United States;USA
One OK Rock;Alternative_metal;Japan;JPN
Okilly Dokilly;Alternative_metal;United States;USA
Orgy;Alternative_metal;United States;USA
Otep;Alternative_metal;United States;USA
Papa Roach;Alternative_metal;United States;USA
Pitchshifter;Alternative_metal;United Kingdom;GBR
P.O.D.;Alternative_metal;United States;USA
Pantera;Alternative_metal;United States;USA
Paw;Alternative_metal;United States;USA
Pearl Jam;Alternative_metal;United States;USA
Powerman 5000;Alternative_metal;United States;USA
Primus;Alternative_metal;United States;USA
Prong;Alternative_metal;United States;USA
Puddle of Mudd;Alternative_metal;United States;USA
Quicksand;Alternative_metal;United States;USA
Queens of the Stone Age;Alternative_metal;United States;USA
Queensrÿche;Alternative_metal;United States;USA
Rage Against the Machine;Alternative_metal;United States;USA
Rammstein;Alternative_metal;Germany;DEU
Red;Alternative_metal;United States;USA
Red Hot Chili Peppers;Alternative_metal;United States;USA
Reuben;Alternative_metal;United Kingdom;GBR
Rollins Band;Alternative_metal;United States;USA
Roses Are Red;Alternative_metal;United States;USA
Seether;Alternative_metal;South Africa;ZAF
Sepultura;Alternative_metal;Brazil;BRA
Serj Tankian;Alternative_metal;United States;USA
Sevendust;Alternative_metal;United States;USA
Shinedown;Alternative_metal;United States;USA
Sick Puppies;Alternative_metal;Australia;AUS
Slipknot;Alternative_metal;United States;USA
Skillet;Alternative_metal;United States;USA
The Smashing Pumpkins;Alternative_metal;United States;USA
Snot;Alternative_metal;United States;USA
SOiL;Alternative_metal;United States;USA
Soundgarden;Alternative_metal;United States;USA
Sum 41;Alternative_metal;Canada;CAN
Stabbing Westward;Alternative_metal;United States;USA
Staind;Alternative_metal;United States;USA
Static X;Alternative_metal;United States;USA
Stereomud;Alternative_metal;United States;USA
Stone Sour;Alternative_metal;United States;USA
Stone Temple Pilots;Alternative_metal;United States;USA
Stuck Mojo;Alternative_metal;United States;USA
Sucioperro;Alternative_metal;United Kingdom;GBR
System of a Down;Alternative_metal;United States;USA
Tad;Alternative_metal;United States;USA
Taproot;Alternative_metal;United States;USA
Therapy?;Alternative_metal;United Kingdom;GBR
Tomahawk;Alternative_metal;United States;USA
Three Days Grace;Alternative_metal;Canada;CAN
Tool;Alternative_metal;United States;USA
Trapt;Alternative_metal;United States;USA
Turbowolf;Alternative_metal;United States;USA
Type O Negative;Alternative_metal;United States;USA
Tremonti;Alternative_metal;United States;USA
Twelve Foot Ninja;Alternative_metal;Australia;AUS
Ugly Kid Joe;Alternative_metal;United States;USA
Vampires Everywhere!;Alternative_metal;United States;USA
Voivod;Alternative_metal;Canada;CAN
Volbeat;Alternative_metal;Denmark;DNK
Waltari;Alternative_metal;Finland;FIN
We Came as Romans;Alternative_metal;United States;USA
White Zombie;Alternative_metal;United States;USA
Zug Izland;Alternative_metal;United States;USA
81db;Avant-garde_metal;Italy;ITA
Acid Bath;Avant-garde_metal;United States;USA
Agalloch;Avant-garde_metal;United States;USA
Ahleuchatistas;Avant-garde_metal;United States;USA
Alarum;Avant-garde_metal;Australia;AUS
Alchemist;Avant-garde_metal;Australia;AUS
The Algorithm;Avant-garde_metal;France;FRA
Altera Enigma;Avant-garde_metal;Indonesia;IDN
Amenra;Avant-garde_metal;Belgium;BEL
Animals as Leaders;Avant-garde_metal;United States;USA
Antigama;Avant-garde_metal;Poland;POL
Arashk;Avant-garde_metal;United States;USA
Arcturus;Avant-garde_metal;Norway;NOR
Atheist;Avant-garde_metal;United States;USA
Avatar;Avant-garde_metal;Sweden;SWE
Babymetal;Avant-garde_metal;Japan;JPN
Mick Barr;Avant-garde_metal;United States;USA
Behold the Arctopus;Avant-garde_metal;United States;USA
Bethlehem;Avant-garde_metal;Germany;DEU
Black Boned Angel;Avant-garde_metal;New Zealand;NZL
Black Flag;Avant-garde_metal;United States;USA
Blut Aus Nord;Avant-garde_metal;France;FRA
The Body;Avant-garde_metal;United States;USA
Boris;Avant-garde_metal;Japan;JPN
Borknagar;Avant-garde_metal;Norway;NOR
Boulder;Avant-garde_metal;United States;USA
Breadwinner;Avant-garde_metal;United States;USA
Buried Inside;Avant-garde_metal;Canada;CAN
Candiria;Avant-garde_metal;United States;USA
Carbonized;Avant-garde_metal;Sweden;SWE
Cave In;Avant-garde_metal;United States;USA
Celtic Frost;Avant-garde_metal;Switzerland;CHE
Cephalic Carnage;Avant-garde_metal;United States;USA
Circle;Avant-garde_metal;Finland;FIN
Conelrad;Avant-garde_metal;United States;USA
Coroner;Avant-garde_metal;Switzerland;CHE
The Contortionist;Avant-garde_metal;United States;USA
Cronian;Avant-garde_metal;Norway;NOR
Chryst;Avant-garde_metal;Austria;AUT
Cult of Luna;Avant-garde_metal;Sweden;SWE
Cynic;Avant-garde_metal;United States;USA
December Wolves;Avant-garde_metal;United States;USA
Devilish Impressions;Avant-garde_metal;Poland;POL
Diablo Swing Orchestra;Avant-garde_metal;Sweden;SWE
The Dillinger Escape Plan;Avant-garde_metal;United States;USA
