,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
0,10 Years,Alternative_metal,"Knoxville, Tennessee, United States",['Alternative metalprogressive metalpost-grunge'],['1999–present'],['UniversalPalehorse/ILG (Warner)Mascot'],"['Jesse Hasek', 'Brian Vodinh', 'Luke Narey', 'Matt Wantland', 'Chad Grennor']","['Mike Underdown', 'Andy Parks', 'Lewis ""Big Lew"" Cosby', 'Ryan Collier', 'Ryan ""Tater"" Johnson', 'Chad Huff', 'Kyle Mayer']"
1,12 Stones,Alternative_metal,"Mandeville, Louisiana, U.S.","['Post-grunge', 'alternative rock', 'alternative metal', 'Christian rock', 'nu metal']",['2000–present'],"['Wind-up, Executive Music Group, Cleopatra']","['Paul McCoy', 'Eric Weaver', 'Sean Dunaway', '']","['Kevin Dorr', 'Pat Quave', 'Aaron Garner', 'Greg Trammell', 'Justin Rimer', 'DJ Stange', 'Shawn Wade', 'Mike McManus', 'Brad Reynolds', 'Will Reed', '']"
2,36 Crazyfists,Alternative_metal,"Anchorage, Alaska, U.S.",['Metalcorealternative metalnu metalpost-hardcore'],['1994\xa0(1994)–present'],['SpinefarmRoadrunnerDRT EntertainmentFerret'],"['Brock Lindow', 'Steve Holt', 'Mick Whitney', 'Kyle Baltus']","['JD Stuart ', 'Ryan Brownell', 'Thomas Noonan', 'Brett Makowski']"
3,311,Alternative_metal,"Omaha, Nebraska, U.S.",['Alternative rockreggae rockrap rockfunk rockalternative metal'],['1988–present'],['311ATOVolcanoCapricornMapleMusicBMG'],"['Nick Hexum', 'Doug ""SA"" Martinez', 'Aaron ""P-Nut"" Wills', 'Tim Mahoney', 'Chad Sexton', '']",['Jim Watson']
4,Alice in Chains,Alternative_metal,"Seattle, Washington, U.S.","['Heavy metal', 'alternative metal', 'grunge', 'sludge metal', 'hard rock']","['1987–2002', '2005–present']","['Columbia', 'Virgin', 'EMI', 'Capitol', 'BMG']","['Jerry Cantrell', 'Sean Kinney', 'Mike Inez', 'William DuVall', '']","['Layne Staley', 'Mike Starr', '']"
5,Alien Ant Farm,Alternative_metal,"Riverside, California, U.S.","['Alternative metal', 'nu metal', 'alternative rock', 'post-grunge', 'punk rock', 'pop punk']",['1996–present'],"['Universal', 'Executive Music']","['Dryden Mitchell', 'Terry Corso', 'Tim Peugh', 'Mike Cosgrove', '']","['Tye Zamora', 'Joe Hill', 'Alex Barreto', '']"
6,Alter Bridge,Alternative_metal,"Orlando, Florida, United States",['Hard rockalternative metalprogressive metalpost-grunge'],['2004\xa0(2004)–present'],['Wind-upUniversal RepublicRoadrunnerNapalm'],"['Myles Kennedy', 'Mark Tremonti', 'Brian Marshall', 'Scott Phillips', '']",
7,American Standards,Alternative_metal,"Phoenix, Arizona, US","['Noise rock, hardcore punk, metalcore, mathcore']",['2011–present'],"['Victory Records,  We Are Triumphant, Enjoyment Records, Torn Flesh, Nacion Libre']","['Brandon Kellum', 'Corey Skowronski', 'Steven Mandell', 'Mitch Hosier']","['Brennen Westermeyer', 'Geoff Gittleson', 'Cody Conrad', 'Mike Cook']"
8,Anthrax,Alternative_metal,"New York City, New York, U.S.","['Heavy metal', 'thrash metal', 'speed metal', 'alternative metal', 'groove metal']",['1981\xa0(1981)–present'],"['Megaforce', 'Island', 'Elektra', 'Sanctuary', 'Nuclear Blast']","['Scott Ian', 'Charlie Benante', 'Frank Bello', 'Joey Belladonna', 'Jonathan Donais', '']",
9,Apartment 26,Alternative_metal,"Leamington Spa, England","['Industrial metal', 'nu metal', 'alternative metal']",['1999–2004'],['Hollywood RecordsAtlantic RecordsMurph Records'],"['Louis Cruden (Bass) ', ' Jon Greasley (Guitar) ', "" Terence 'Biff' Butler (Vocals) "", ' Andy Huckvale (Keyboards/Programming) ', ' Kevin Temple (Drums) ', ' Brad Booker (Drums)']",
10,A Perfect Circle,Alternative_metal,"Los Angeles, California, U.S.","['Alternative rock', 'alternative metal', 'hard rock', 'art rock']","['1999–2004', '2010–present']","['Virgin', 'BMG']","['Maynard James Keenan', 'Billy Howerdel', 'James Iha', 'Matt McJunkins', 'Jeff Friedl', '']","['Troy Van Leeuwen', 'Paz Lenchantin', 'Tim Alexander', 'Josh Freese', 'Danny Lohner', 'Jeordie White', '']"
11,Apocalyptica,Alternative_metal,"Helsinki, Finland","['Symphonic metal', 'gothic metal', 'alternative metal', 'heavy metal', 'neoclassical metal']",['1993–present'],"['Eleven Seven', 'MCA', 'Zen Garden', 'Mercury', '20-20', 'Jive', 'Sony Music', 'RCA']","['Eicca Toppinen', 'Perttu Kivilaakso', 'Paavo Lötjönen', 'Mikko Sirén', 'Franky Perez', 'Antero Manninen', '']","['Max Lilja', '']"
12,At the Drive-In,Alternative_metal,"El Paso, Texas, U.S.","['Post-hardcore', 'punk rock', 'art punk', 'emo']","['1994–2001', '2011–2012', '2015–2018']","['Rise', 'Fearless', 'Grand Royal', 'Twenty-first Chapter']","['Cedric Bixler-Zavala', 'Omar Rodríguez-López', 'Paul Hinojos', 'Tony Hajjar', 'Keeley Davis', '']","['Jim Ward', 'Jarrett Wrenn', 'Kenny Hopper', 'Bernie Rincon', 'Davy Simmons', 'Adam Amparan', 'Ryan Sawyer', 'Ben Rodriguez', '']"
13,Audioslave,Alternative_metal,"Glendale, California, U.S.","['Hard rock', 'alternative metal', 'post-grunge', 'funk metal', 'alternative rock']","['2001–2007', '2017']","['Epic', 'Interscope']",,"['Tom Morello', 'Tim Commerford', 'Brad Wilk', 'Chris Cornell', '']"
14,Avenged Sevenfold,Alternative_metal,"Huntington Beach, California, U.S.","['Heavy metal', 'alternative rock', 'hard rock', 'metalcore (early)']",['1999–present'],"['Good Life', 'Hopeless', 'Warner Bros.', 'Capitol']","['M. Shadows', 'Zacky Vengeance', 'Synyster Gates', 'Johnny Christ', 'Brooks Wackerman', '']","['The Rev', 'Matt Wendt', 'Justin Sane', 'Dameon Ash', 'Arin Ilejay', '']"
15,Babymetal,Alternative_metal,"Tokyo, Japan","['Kawaii metal', 'heavy metal', 'J-pop', 'power metal', 'alternative metal']",['2010–present'],"['Juonbu', 'BMD Fox', ""Toy's Factory"", 'Amuse']","['Su-metal', 'Moametal', '']","['Yuimetal', '']"
16,Bad Brains,Alternative_metal,"Washington, D.C., United States",['Hardcore punkalternative metalpunk rockreggae'],['1977–19951998–present'],['ROIRCarolineSSTEpicMundaneSMEMaverickWarner Bros.Megaforce'],"['H.R.', 'Dr. Know', 'Darryl Jenifer', 'Earl Hudson', '']","['Sid McCray', 'Mackie Jayson', 'Taj Singleton', 'Chuck Mosley', 'Israel Joseph I', 'Chuck Treece', '']"
17,Baroness,Alternative_metal,"Savannah, Georgia, United States","['Sludge metal', 'alternative metal', 'progressive metal']",['2003–present'],"['Relapse', 'Hyperrealist', 'At a Loss Recordings', 'Abraxan Hymns']","['John Baizley', 'Nick Jost', 'Sebastian Thomson', 'Gina Gleason', '']","['Peter Adams', 'Allen Blickle', 'Summer Welch', 'Tim Loose', 'Brian Blickle', 'Matt Maggioni', '']"
18,Biohazard,Alternative_metal,"Brooklyn, New York, U.S.","['Hardcore punk', 'rap metal', 'thrash metal', 'rapcore']","['1987–2006', '2008–present']","['Mercury', 'Nuclear Blast', 'Roadrunner', 'Sanctuary', 'Warner Bros.']","['Billy Graziadei', 'Bobby Hambel', 'Danny Schuler', '']","['Evan Seinfeld', 'Anthony Meo', 'Rob Echeverria', 'Leo Curley', 'Carmine Vincent', 'Scott Roberts', '']"
19,Black Stone Cherry,Alternative_metal,"Edmonton, Kentucky, United States",['Hard rockheavy metalSouthern rockalternative metalpost-grunge'],['2001\xa0(2001)–present'],"['Roadrunner (2005-2015), Mascot (2015-Present)']","['Chris Robertson', 'Ben Wells', 'Jon Lawhon', 'John Fred Young']",
20,Black Veil Brides,Alternative_metal,"Cincinnati, Ohio, U.S.","['Glam metal', 'gothic metal', 'heavy metal', 'gothic rock', 'hard rock', 'metalcore']",['2006–present'],"['Lava', 'Universal Republic', 'StandBy']","['Andy Biersack', 'Ashley Purdy', 'Jinxx', 'Jake Pitts', 'Christian ""CC"" Coma', '']","['Johnny Herold', 'Kevin Harris', 'Nate Shipp', 'Phil Cenedella', 'Chris Riesenberg', 'Robert Thomas', 'Mike Stamper', 'Chris Hollywood', 'Sandra Alvarenga', 'Pan The Gypsy', '']"
21,Breaking Benjamin,Alternative_metal,"Wilkes-Barre, Pennsylvania, U.S.","['Hard rock', 'post-grunge', 'alternative metal']","['1999–2010', '2014–present']",['Hollywood'],"['Benjamin Burnley', 'Aaron Bruch', 'Shaun Foist', 'Jasen Rauch', 'Keith Wallen', '']","['Jeremy Hummel', 'Aaron Fink', 'Mark Klepaski', 'Chad Szeliga', 'See § Members for others', '']"
22,Bring Me the Horizon,Alternative_metal,"Sheffield, England","['Metalcore', 'alternative metal', 'alternative rock', 'pop rock', 'electronic rock', 'deathcore (early)']",['2004–present'],"['BMG', 'Sony', 'RCA', 'Columbia', 'Visible Noise', 'Epitaph', 'Thirty Days of Night', 'Earache', 'Shock']","['Oliver Sykes', 'Matt Kean', 'Lee Malia', 'Matt Nicholls', 'Jordan Fish', '']","['Curtis Ward', 'Jona Weinhofen', '']"
23,Bullet for My Valentine,Alternative_metal,"Bridgend, Wales, UK","['Metalcore', 'heavy metal', 'thrash metal', 'hard rock']",['1998\xa0(1998)–present'],"['Trustkill', 'Visible Noise', 'Gun', 'Sony Music', 'Jive', 'RCA', 'Spinefarm']","['Matthew Tuck', 'Michael Paget', 'Jamie Mathias', 'Jason Bowld', '']","['Nick Crandle', 'Jason James', 'Michael Thomas', '']"
24,Butthole Surfers,Alternative_metal,"San Antonio, Texas, United States",['Experimental rockalternative rockpunk rockpsychedelic rock'],['1981–present'],['Alternative TentaclesTouch and GoBlast FirstAu Go GoLatino BuggerveilRough TradeCapitolTrance SyndicateSurfdogHollywood'],"['Gibby Haynes', 'Paul Leary', 'King Coffey', 'Jeff Pinkus', '']",['see members section']
25,Chevelle,Alternative_metal,"Grayslake, Illinois, U.S.","['Alternative metal', 'post-grunge', 'hard rock', 'nu metal', 'alternative rock']",['1995–present'],"['Squint', 'Epic']","['Pete Loeffler', 'Sam Loeffler', 'Dean Bernardini', '']","['Joe Loeffler', '']"
